time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-03 00:00:00+00:00,2,2,5.0,2.0
2024-03-04 00:00:00+00:00,3,3,37.0,2.0
2024-03-05 00:00:00+00:00,2,2,,
2024-03-06 00:00:00+00:00,2,2,37.0,3.0
2024-03-07 00:00:00+00:00,2,2,33.0,6.0
2024-03-08 00:00:00+00:00,2,2,2.0,2.0
2024-03-09 00:00:00+00:00,3,3,10.0,3.0
2024-03-10 00:00:00+00:00,1,1,13.0,2.0
2024-03-11 00:00:00+00:00,3,3,6.0,3.0
2024-03-12 00:00:00+00:00,1,1,15.0,5.0
2024-03-13 00:00:00+00:00,1,1,59.0,4.0
2024-03-14 00:00:00+00:00,1,1,69.0,5.0
2024-03-15 00:00:00+00:00,1,1,15.0,4.0
