url_path,views_total,views_unique
/mariasfiraiala/SO-exam,127,81
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,107,46
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,93,38
/mariasfiraiala/SO-exam/tree/master,93,35
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,87,38
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,83,42
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,76,32
/mariasfiraiala/SO-exam/tree/master/software-stack,72,40
/mariasfiraiala/SO-exam/tree/master/compute,62,35
/mariasfiraiala/SO-exam/tree/master/app-interact,61,33
