time_iso8601,stars_cumulative
2023-01-22 00:00:00+00:00,13
2023-01-23 00:00:00+00:00,16
2023-01-28 00:00:00+00:00,17
2023-01-29 00:00:00+00:00,18
2023-01-30 00:00:00+00:00,20
2023-01-31 00:00:00+00:00,25
2023-02-01 00:00:00+00:00,26
2023-02-02 00:00:00+00:00,29
2023-02-03 00:00:00+00:00,32
2023-02-04 00:00:00+00:00,33
2023-02-05 00:00:00+00:00,34
2023-02-06 00:00:00+00:00,36
2023-02-07 00:00:00+00:00,37
2023-02-08 00:00:00+00:00,39
2023-03-05 00:00:00+00:00,40
2023-04-27 00:00:00+00:00,41
2023-05-06 00:00:00+00:00,42
2023-05-12 00:00:00+00:00,43
2023-05-23 00:00:00+00:00,44
2023-05-31 00:00:00+00:00,45
2023-06-01 00:00:00+00:00,46
2023-06-03 00:00:00+00:00,47
2023-06-06 00:00:00+00:00,48
2023-06-12 00:00:00+00:00,49
2023-06-13 00:00:00+00:00,50
2023-06-14 00:00:00+00:00,51
2023-06-15 00:00:00+00:00,52
2023-06-16 00:00:00+00:00,53
2023-06-19 00:00:00+00:00,54
2023-08-26 00:00:00+00:00,55
2023-10-15 00:00:00+00:00,56
2023-10-17 00:00:00+00:00,57
2023-10-19 00:00:00+00:00,58
2023-11-28 00:00:00+00:00,59
2023-12-10 00:00:00+00:00,60
2023-12-13 00:00:00+00:00,62
2023-12-19 00:00:00+00:00,63
